aaaah	0.5200	0.6360
aardvark	0.4270	0.4900
aback	0.3850	0.4070
abacus	0.5100	0.2760
abalone	0.5000	0.4800
abandon	0.0520	0.5190
abandoned	0.0460	0.4810
abandonment	0.1280	0.4300
abashed	0.1770	0.6440
abate	0.2550	0.6960
abatement	0.3880	0.3380
abba	0.5620	0.5000
abbey	0.5800	0.3670
abbot	0.4270	0.3210
abbreviate	0.5310	0.3750
abbreviation	0.4690	0.3060
abdomen	0.4690	0.4620
abdominal	0.4900	0.4560
abduct	0.1730	0.7200
abduction	0.0620	0.9900
aberrant	0.1460	0.7650
aberration	0.1250	0.8160
abeyance	0.3300	0.5100
abhor	0.1250	0.6020
abhorrence	0.1670	0.6840
abhorrent	0.2290	0.7500
abide	0.6350	0.3540
abiding	0.7960	0.3270
ability	0.8750	0.5100
abject	0.3540	0.5900
ablation	0.4180	0.5000
ablaze	0.2400	0.8470
able	0.7860	0.5000
abnormal	0.1370	0.6040
abnormality	0.0920	0.6550
aboard	0.6980	0.2840
abode	0.6200	0.3020
abolish	0.4480	0.6150
abolition	0.3230	0.6900
abominable	0.1200	0.7310
abominate	0.1980	0.7880
abomination	0.0780	0.7550
aboriginal	0.4480	0.4270
abort	0.1530	0.6860
abortion	0.0820	0.7700
abortive	0.0900	0.7760
abound	0.7040	0.4900
abovementioned	0.5410	0.2980
abracadabra	0.6730	0.6320
abrasion	0.4060	0.5920
abrasive	0.3920	0.6100
abreast	0.6350	0.3800
abroad	0.6770	0.5960
abrogate	0.3270	0.5100
abrupt	0.2710	0.8190
abruptly	0.2500	0.8080
abscess	0.1540	0.4510
absence	0.1530	0.2350
absent	0.1770	0.2210
absentee	0.2350	0.3300
absenteeism	0.4040	0.2730
absinthe	0.4810	0.5100
absolute	0.5260	0.5100
absolution	0.7150	0.5000
absolve	0.6840	0.4490
absorb	0.4690	0.5580
absorbed	0.4900	0.4710
absorbent	0.5520	0.3940
absorbing	0.4900	0.4900
absorption	0.6090	0.4220
abstain	0.3850	0.3850
abstention	0.2710	0.2640
abstinence	0.2600	0.3920
abstract	0.4380	0.2920
abstraction	0.4690	0.4390
absurd	0.1880	0.6560
absurdity	0.1150	0.5280
abundance	0.8120	0.6900
abundant	0.9580	0.5900
abuse	0.0710	0.8730
abused	0.0210	0.8740
abusive	0.1250	0.9030
abutment	0.5000	0.2650
aby	0.3850	0.4520
abysmal	0.2500	0.7100
abyss	0.3530	0.7250
academic	0.7810	0.4200
academy	0.7040	0.4730
accede	0.6980	0.5100
accelerant	0.6430	0.8440
accelerate	0.6150	0.9020
accelerated	0.6100	0.8120
acceleration	0.7040	0.9050
accelerator	0.5930	0.8300
accent	0.5980	0.3570
accentuate	0.6730	0.5560
accept	0.8470	0.2860
acceptable	0.8120	0.2860
acceptance	0.8330	0.2870
acceptances	0.8470	0.4130
access	0.7140	0.4720
accessible	0.7960	0.4100
accession	0.6120	0.3830
accessory	0.5620	0.2920
accident	0.1250	0.9080
accidental	0.3190	0.7840
accidentally	0.3330	0.7410
acclaim	0.5620	0.8090
accolade	0.6880	0.5910
accommodate	0.8440	0.3750
accommodation	0.8170	0.4150
accompaniment	0.7400	0.4790
accompany	0.8330	0.4060
accompanying	0.7870	0.4600
accomplice	0.4080	0.5800
accomplish	0.9290	0.6730
accomplished	0.8700	0.5200
accomplishment	0.9170	0.6940
accord	0.8980	0.2640
accordance	0.6590	0.3490
accordion	0.6040	0.4900
account	0.5310	0.3470
accountability	0.7550	0.5370
accountable	0.7090	0.2820
accountant	0.6250	0.4500
accounting	0.5520	0.3900
accounts	0.5920	0.3400
accredited	0.6690	0.4790
accretion	0.4480	0.5190
accrue	0.5200	0.4810
accueil	0.4500	0.4510
accumulate	0.5730	0.5360
accumulation	0.4790	0.5270
accuracy	0.6040	0.4810
accurate	0.7430	0.3600
accursed	0.1350	0.7450
accusation	0.0730	0.7180
accusative	0.1980	0.7550
accuse	0.1330	0.7520
accused	0.1300	0.6700
accuser	0.1220	0.7790
accusing	0.1560	0.7450
accustomed	0.5420	0.3650
ace	0.6430	0.4810
acetic	0.3330	0.4200
acetylene	0.3060	0.4690
ache	0.1460	0.7600
achieve	0.8160	0.5450
achieved	0.8960	0.5190
achievement	0.8960	0.8080
aching	0.0530	0.8800
achy	0.1670	0.8400
acid	0.2650	0.6420
acidity	0.1560	0.6630
acknowledge	0.7860	0.3700
acknowledged	0.7140	0.4430
acknowledgement	0.8190	0.5390
acknowledgment	0.7960	0.5280
acme	0.4080	0.4350
acne	0.1670	0.4740
acorn	0.4480	0.1980
acoustic	0.5420	0.4620
acoustics	0.6110	0.3300
acquaint	0.6460	0.4910
acquaintance	0.6560	0.2900
acquainted	0.9060	0.3580
acquiescence	0.5420	0.4800
acquire	0.8330	0.4680
acquiring	0.7350	0.5100
acquisition	0.6980	0.5090
acquisitions	0.7730	0.6600
acquit	0.5830	0.5710
acquittal	0.7600	0.4970
acre	0.5830	0.3870
acreage	0.7410	0.4500
acres	0.5100	0.3630
acrobat	0.7080	0.8280
acrylic	0.5820	0.2790
act	0.6560	0.7040
acting	0.6980	0.6430
action	0.7600	0.8980
action figure	0.6150	0.7740
actionable	0.6730	0.7020
activate	0.7640	0.6500
activation	0.7810	0.8000
active	0.8470	0.7300
activist	0.5310	0.6530
activity	0.7010	0.6600
actor	0.6530	0.5610
actress	0.6330	0.5560
actual	0.7290	0.4000
actuality	0.7500	0.4640
actuary	0.5100	0.4040
acuity	0.4690	0.3780
acumen	0.5640	0.6600
acupuncture	0.5310	0.3240
acute	0.4270	0.6520
acutely	0.4170	0.5430
ad	0.5210	0.7050
adage	0.5170	0.4150
adamant	0.3440	0.5290
adapt	0.7400	0.3550
adaptable	0.7350	0.4230
adaptation	0.6630	0.3650
add	0.7280	0.4900
added	0.5620	0.4050
addendum	0.3920	0.3700
adder	0.3880	0.4610
addict	0.0750	0.6960
addicted	0.1560	0.7120
addiction	0.1800	0.8060
addictive	0.3020	0.6830
addition	0.5620	0.3730
additional	0.6730	0.4620
additive	0.5610	0.6330
address	0.6500	0.3270
addressee	0.6220	0.3820
addresses	0.5100	0.3540
adept	0.5940	0.5390
adequacy	0.6150	0.4350
adequate	0.8540	0.2640
adhere	0.6330	0.3390
adherence	0.7600	0.3070
adherent	0.5610	0.3850
adhering	0.6120	0.5610
adhesion	0.5210	0.4450
adhesive	0.6040	0.3500
adieu	0.2500	0.4710
adipose	0.3330	0.3500
adjacency	0.3650	0.4170
adjacent	0.6450	0.2760
adjective	0.5700	0.3160
adjoining	0.5200	0.4000
adjourn	0.3850	0.4560
adjournment	0.4380	0.5100
adjudicate	0.5590	0.5200
adjudication	0.5510	0.4620
adjunct	0.4590	0.4400
adjust	0.6470	0.3270
adjuster	0.5100	0.5400
adjustment	0.5900	0.5200
adjuvant	0.5100	0.5000
admin	0.6880	0.4200
administer	0.6350	0.4250
administration	0.6250	0.4040
administrative	0.5420	0.4150
administrator	0.5380	0.4800
admirable	0.9290	0.6000
admiral	0.8440	0.4900
admiralty	0.5940	0.5470
admiration	0.9690	0.5830
admire	0.8670	0.6920
admired	0.9170	0.5600
admirer	0.7960	0.7200
admiring	0.8670	0.5780
admissibility	0.8020	0.5800
admissible	0.7800	0.5280
admission	0.8020	0.4150
admit	0.5380	0.4230
admittance	0.6900	0.4510
admitted	0.7200	0.4900
admitting	0.6200	0.5000
admixture	0.4500	0.3750
admonition	0.3570	0.6060
ado	0.5200	0.4230
adobe	0.5000	0.3190
adolescence	0.4870	0.6940
adolescent	0.7810	0.6800
adopt	0.6940	0.6120
adoption	0.6250	0.5660
adoptive	0.5310	0.4690
adorable	0.9690	0.5190
adoration	0.8850	0.6990
adore	0.8540	0.4380
adoring	0.8850	0.6200
adorn	0.9100	0.4240
adornment	0.9180	0.3730
adrenalin	0.8650	0.9200
adrenaline	0.7650	0.9650
adrift	0.3980	0.4860
adult	0.8150	0.4910
adulterated	0.1880	0.8650
adulterer	0.2290	0.8140
adultery	0.1200	0.9220
adulthood	0.5410	0.4540
advance	0.6730	0.4720
advanced	0.8440	0.6230
advancement	0.7760	0.6500
advancing	0.9290	0.6080
